harmonized_name,harmonized_label,type,allowed_values,years_available,raw_source_by_year,comparability_class,derivation_rule,notes
year,Birth year,int16,1990-2024,1990-2024,All years: parsed constant per record (file year),full,,
restatus,Resident status (NCHS),int8,1|2|3|4,1990-2024,1990-2002: RESTATUS@6; 2003-2013: RESTATUS@138; 2014-2024: RESTATUS@104,full,,"Code 4 indicates foreign resident. Use to exclude foreign residents for residence-based totals."
is_foreign_resident,Foreign-resident indicator,bool,true|false,1990-2024,Derived from restatus,full,is_foreign_resident = (restatus == 4),
certificate_revision,Certificate revision (1989 vs 2003),string,unrevised_1989|revised_2003|unknown,1990-2024,"1990-2002: always unrevised_1989; 2003-2013: uses presence of revision-specific fields (MEDUC and MRACE); 2014-2024: always revised_2003",full,"1990-2002: unrevised_1989. 2003-2013: revised_2003 if MEDUC is nonblank; else unrevised_1989 if MRACE is nonblank; else unknown. 2014-2024: revised_2003","Use to define revision-consistent analytic subsets, especially for variables that are revised-only in some years."
maternal_age,Mother's age (single years),int16,10-54 (see User Guides),1990-2024,"1990-2002: DMAGE@70-71; 2003: MAGER41@89-90 (41-category recode → single-year); 2004-2013: MAGER@89-90; 2014-2024: MAGER@75-76",partial,,2003 is from MAGER41 recode (code 1→14; codes 2-41→N+13; 99/other→null).
live_birth_order_recode,Live birth order recode,int8,1-7|8|9,1990-2024,"1990-2002: DLIVORD@100-101; 2003-2013: LBO_REC@212; 2014-2024: LBO_REC@179",full,,"9 indicates unknown/not stated."
total_birth_order_recode,Total birth order recode,int8,1-7|8|9,1990-2024,"1990-2002: DTOTORD@103-104; 2003-2013: TBO_REC@217; 2014-2024: TBO_REC@182",full,,"9 indicates unknown/not stated."
marital_status,Marital status,int8,1|2|9,1990-2024,"1990-2002: DMAR@87; 2003-2013: MAR@153; 2014-2024: DMAR@120",partial,,"1=married; 2=unmarried; 9=unknown/not stated. California stopped reporting marital status starting 2017: ~11-12% null from 2017 onward (0% null 1990-2016). Use marital_reporting_flag to identify non-reporting-state births."
marital_reporting_flag,Marital status reporting flag,bool,true|false|null,2014-2024,2014-2024: F_MAR_P@123,partial,"F_MAR_P 1→true (reporting state) 0→false (non-reporting state) blank→null","True=state reports marital status to NCHS; False=non-reporting state (California from 2017+). Null for all pre-2014 years. Use to distinguish non-reporting-state births from genuine unknowns when marital_status is null."
maternal_hispanic_origin,Mother's Hispanic origin recode,int8,0|1|2|3|4|5|9,1990-2024,"1990-2002: ORMOTH@77; 2003-2013: UMHISP@148; 2014-2024: MHISP_R@115",partial,,"0=non-Hispanic; 1-5 specific Hispanic origin; 9=unknown/not stated. Blanks can occur due to nonreporting."
maternal_hispanic,Maternal Hispanic indicator,bool,true|false,1990-2024,Derived from maternal_hispanic_origin,partial,maternal_hispanic = (maternal_hispanic_origin in 1-5),Null when Hispanic origin is missing or unknown.
maternal_race_bridged4,Mother's bridged race (4 categories),int8,1|2|3|4,1990-2019,"1990-2002: approximate bridge from MRACE@80-81; 2003-2013: MRACEREC@143; 2014-2019: MBRACE@110 (NCHS dropped MBRACE in 2020+)",partial,,"1=White; 2=Black; 3=AIAN; 4=Asian/PI. 1990-2002 uses approximate crosswalk (not official NCHS bridged race). 100% NULL for 2020-2024 — NCHS discontinued the bridged-race recode; for 2020+ use maternal_race_ethnicity_5 (which is reconstructed from MRACE6)."
maternal_race_ethnicity_5,Maternal race/ethnicity (NH race + Hispanic),string,NH_white|NH_black|NH_aian|NH_asian_pi|Hispanic,1990-2024,"Derived from maternal_hispanic + maternal_race_bridged4 (1990-2019) or maternal_race_detail (2020+)",partial,"if maternal_hispanic==true then 'Hispanic' else map bridged4 to NH_*; for 2020+ where bridged race is null: MRACE6 01→NH_white 02→NH_black 03→NH_aian 04/05→NH_asian_pi 06(multiracial)→null","Null when Hispanic origin is missing/unknown or race is multiracial (MRACE6=06 for 2020+, ~3% of births). See race_bridge_method for derivation era."
maternal_race_detail,Mother's race (detail code as reported),string,See User Guides by era,1990-2024,"1990-2002: MRACE@80-81; 2003-2013: MRACE@141-142; 2014-2024: MRACE6@107",within-era,,"Code frame differs across eras; do not treat as a single comparable series."
maternal_race_detail_15cat,Mother's race (15-category detail),string,01-15,2014-2024,"2014-2024: MRACE15@108-109",within-era,,"15=multiracial. Populated 2014+. NCHS does not expose MRACE15 in 2003-2013 public-use files — null for all 1990-2013 rows."
race_bridge_method,Method used to derive bridged race / race-ethnicity,string,approximate_pre2003|nchs_bridged|approximate_from_detail,1990-2024,Derived from year,partial,,"approximate_pre2003 for 1990-2002 (crosswalk from MRACE detail); nchs_bridged for 2003-2019 (official NCHS MBRACE/MRACEREC); approximate_from_detail for 2020-2024 (reconstructed from MRACE6; multiracial code 06 → null race_ethnicity_5)."
maternal_education_cat4,Maternal education (4-category),string,lt_hs|hs_grad|some_college|ba_plus,1990-2024,"1990-2002: DMEDUC@83-84 (years→cat4); 2003-2008: MEDUC@155 (revised) and MEDUC_REC@158 (unrevised); 2009-2013: MEDUC@155 (revised; unrevised blank in public-use); 2014-2024: MEDUC@124",partial,"1990-2002: 0-11→lt_hs 12→hs_grad 13-15→some_college 16-17→ba_plus 99→null; 2003+: MEDUC codes 1-2→lt_hs 3→hs_grad 4-5→some_college 6-8→ba_plus 9→null","Expect substantial missingness in 2009-2013 corresponding to unrevised areas. For revision-consistent analyses in 2009-2013, restrict to `certificate_revision == 'revised_2003'`."
prenatal_care_start_month,Month prenatal care began,int16,0-10|99,1990-2024,"1990-2002: MONPRE@106-107; 2003-2008: PRECARE@245-246 (revised) and MPCB@256-257 (unrevised); 2009-2013: PRECARE@245-246 (revised; MPCB blank in public-use); 2014-2024: PRECARE@224-225",partial,"Prefer PRECARE when present else MPCB",00 indicates no prenatal care; 99 indicates unknown/not stated. Expect substantial missingness in 2009-2013.
prenatal_care_start_trimester,Prenatal care start trimester,string,1st|2nd|3rd|none|unknown,1990-2024,Derived from prenatal_care_start_month,partial,"none if month==0; 1st if 1-3; 2nd if 4-6; 3rd if 7-10; unknown if month==99 or null",
prenatal_visits,Number of prenatal visits,int16,0-98|99,1990-2024,"1990-2002: NPREVIS@110-111; 2003-2013: UPREVIS@270-271; 2014-2024: PREVIS@238-239",partial,,"99 indicates unknown/not stated. Cap differs by era (49 for 1990-2013; 98 for 2014+)."
smoking_any_during_pregnancy,Any smoking during pregnancy,bool,true|false,1990-2024,"1990-2002: TOBACCO@242 (independent flag); 2003-2008: CIG_REC6@293 + CIG_1/2/3@284-289; 2009-2013: CIG_1/2/3@284-289 only; 2014-2024: CIG1_R@262 CIG2_R@263 CIG3_R@264",partial,"1990-2002: TOBACCO 1=yes 2=no 9→null; 2003+: derived from intensity recode","1990-2002 uses independent source field; 2003+ derives from intensity. 2009-2013 revised-only."
smoking_intensity_max_recode6,Max smoking intensity during pregnancy (recode6),int8,0|1|2|3|4|5|6,1990-2024,"1990-2002: CIGAR6@245; 2003-2008: CIG_REC6@293 + CIG_1/2/3@284-289; 2009-2013: CIG_1/2/3@284-289 only; 2014-2024: max(CIG1_R@262 CIG2_R@263 CIG3_R@264)",partial,"0=nonsmoker; 1-5 intensity bands; 6=unknown/not stated","2009-2013 revised-only."
smoking_pre_pregnancy_recode6,Smoking before pregnancy (recode6),int8,0|1|2|3|4|5|6,2014-2024,2014-2024: CIG0_R@261,within-era,,"Not directly comparable to pregnancy smoking measures in earlier years."
diabetes_any,Diabetes (U/R combined),int8,1|2|8|9,1990-2024,"1990-2002: DIABETES@228; 2003-2015: URF_DIAB@331 (2003-2013) or URF_DIAB@1331 (2014-2015); 2016-2024: derived from RF_PDIAB@313 OR RF_GDIAB@314 (the URF_* tail block is filler in 2016+ User Guides)",partial,"2016+: 1 if either RF_PDIAB or RF_GDIAB is Y; 2 if both are N; null otherwise","1=yes; 2=no; 8=factor not on certificate (2000-2003 only, ~5-6k rows/year, per Nat200Xdoc.pdf p.46); 9=unknown/not classifiable. Source-field decision is per-year (not per-batch). Prefer diabetes_any_bool (derived) which maps 8 and 9 → null."
hypertension_chronic,Chronic hypertension (U/R combined),int8,1|2|8|9,1990-2024,"1990-2002: CHYPER@232; 2003-2015: URF_CHYPER@335 (2003-2013) or URF_CHYPER@1332 (2014-2015); 2016-2024: derived from RF_PHYPE@315",partial,,"1=yes; 2=no; 8=factor not on certificate (2000-2003 only, per Nat200Xdoc.pdf p.46); 9=unknown/not classifiable. Prefer hypertension_chronic_bool (derived) which maps 8 and 9 → null."
hypertension_gestational,Pregnancy-associated hypertension (U/R combined),int8,1|2|8|9,1990-2024,"1990-2002: PHYPER@233; 2003-2015: URF_PHYPER@336 (2003-2013) or URF_PHYPER@1333 (2014-2015); 2016-2024: derived from RF_GHYPE@316",partial,,"1=yes; 2=no; 8=factor not on certificate (2000-2003 only, per Nat200Xdoc.pdf p.46); 9=unknown/not classifiable. Prefer hypertension_gestational_bool (derived) which maps 8 and 9 → null."
plurality_recode,Plurality recode,int8,1|2|3|4|5,1990-2024,"All years: DPLURAL (1990-2002@201; 2003-2013@423; 2014-2024@454)",full,,
infant_sex,Infant sex,string,M|F,1990-2024,"1990-2002: CSEX@189 (1→M 2→F); 2003-2013: SEX@436; 2014-2024: SEX@475",full,,
gestational_age_weeks,Gestational age (weeks) best available,int16,17-47|99,1990-2024,"1990-2002: DGESTAT@183-184 (LMP); 2003-2013: COMBGEST@451-452 (combined); 2014-2024: OEGEST_COMB@499-500 (obstetric estimate)",partial,,"99 indicates unknown/not stated. Series breaks at 2003 and 2014 transitions."
gestational_age_weeks_source,Gestation source used,string,lmp|combined|obstetric_estimate,1990-2024,Derived from year and available fields,partial,"lmp for 1990-2002; combined for 2003-2013; obstetric_estimate for 2014-2024",
preterm_recode3,Preterm recode 3 best available,int8,1|2|3,1990-2024,"1990-2002: GESTAT3@187; 2003-2013: GESTREC3@455; 2014-2024: OEGEST_R3@503",partial,,"1=under 37 weeks; 2=37+; 3=not stated."
birthweight_grams,Birthweight (grams),int32,227-8165|9999,1990-2024,"1990-2002: DBIRWT@193-196; 2003-2013: DBWT@463-466; 2014-2024: DBWT@504-507",full,,"9999 indicates not stated."
delivery_method_recode,Delivery method recode,int8,"1990-2004: 1|2|3|4|9 (1=vaginal, 2=VBAC, 3=primary CS, 4=repeat CS, 9=not stated); 2005-2024: 1|2|9 (1=vaginal, 2=cesarean, 9=not stated)",1990-2024,"1990-2002: DELMETH5@224 (code 5→9); 2003-2004: DMETH_REC@401 (codes ≥5 remapped to 9 to align with DELMETH5 not-stated sentinel); 2005-2013: DMETH_REC@403; 2014-2024: DMETH_REC@408",partial,,"Two coding frames with boundary at 2005 (NOT 2003). Cesarean binary crosswalk: codes 3+4 pre-2005, code 2 post-2005; validated against NVSR 1990-2024 cesarean rates (all within 0.07 pct-pts). See docs/FAQ.md ('How do I compute the cesarean rate across 1990-2024?') for the canonical recipe. Invariant delivery_method_recode_post2004_out_of_set enforces {1,2,9} for 2005+."
apgar5,Five-minute Apgar score,int16,0-10|99,1990-2024,"1990-2002: FMAPS@205-206; 2003-2013: APGAR5@415-416; 2014-2024: APGAR5@444-445",full,,"99 indicates unknown/not stated."
bmi_prepregnancy,Pre-pregnancy BMI,float32,13.0-69.9|null,2014-2024,2014-2024: BMI@283-286 (xx.x format),within-era,,"Sentinel 99.9→null. Null for all years before 2014. Available only on revised 2003 certificate."
bmi_prepregnancy_recode6,Pre-pregnancy BMI recode (6-category),int8,1|2|3|4|5|6,2014-2024,2014-2024: BMI_R@287,within-era,,"1=Underweight (<18.5); 2=Normal (18.5-24.9); 3=Overweight (25.0-29.9); 4=Obesity I (30.0-34.9); 5=Obesity II (35.0-39.9); 6=Extreme Obesity III (>=40.0). Sentinel 9→null. Null for all years before 2014."
father_age,Father's age (single years),int16,9-98|null,"1990-2024","1990-2002: DFAGE@154-155; 2003-2011: UFAGECOMB@184-185; 2012-2013: FAGECOMB@182-183 (NCHS moved the field here from UFAGECOMB; populated for revised-cert rows only — ~77-79%); 2014-2024: FAGECOMB@147-148",partial,"Prefer FAGECOMB (revised-cert raw age) when non-null, else UFAGECOMB","99→null; range-clipped to 9-98. For categorical (5-year-bucket) father age that also covers unrevised-cert 2005-2013 rows, see father_age_cat_from_rec11."
father_age_cat_from_rec11,Father age category from FAGEREC11 recode,string,<20|20-24|25-29|30-34|35-39|40+|null,2005-2013,"2005-2013: FAGEREC11@186-187",within-era,"FAGEREC11 01-02→<20; 03→20-24; 04→25-29; 05→30-34; 06→35-39; 07-10→40+; 11→null","Recovers categorical father age for 2012 where raw single-year age is blank. Null for 1990-2002 and 2014+."
birth_facility,Birth facility type,string,"hospital|birth_center|clinic_other|home|null",1990-2024,"1990-2002: PLDEL@8; 2003-2013: UBFACIL@42; 2014-2024: BFACIL@32",partial,,"Coarse 4-category harmonization across eras."
attendant_at_birth,Attendant at birth,int8,1|2|3|4|5|null,1990-2024,"1990-2002: BIRATTND@10; 2003: ATTEND@408; 2004: ATTEND@408 (layout identical to 2003 for this field, despite the 2004 file sharing the 2005 record length); 2005-2013: ATTEND@410; 2014-2024: ATTEND@433",partial,,"1=MD; 2=DO; 3=CNM; 4=other midwife; 5=other; 9→null."
payment_source_recode,Payment source recode,int8,1|2|3|4|null,2009-2024,"2005-2013: PAY_REC@413; 2014-2024: PAY_REC@436",within-era,,"1=Medicaid; 2=Private insurance; 3=Self-pay; 4=Other. 9→null. Null for 2005-2008 (filler). Partial coverage 2009-2010 (2003-revision states) in V2 natality. Full coverage 2014+. **V3 LINKED CAVEAT**: 100% NULL for 2009-2010 in V3 (the 2009 and 2010 LinkCO denominator-plus zips ship with byte 413 blank across the entire file — upstream NCHS limitation, not a parser bug). V3 coverage matches V2 from 2011 onward."
prior_cesarean,Prior cesarean delivery,bool,true|false|null,"2005-2024","2005-2013: RF_CESAR@324; 2014-2024: RF_CESAR@331",partial,,"Y→true; N→false; U/blank→null. RF_CESAR is revised-certificate-only; coverage tracks cert-revision adoption (30.8% of rows populated in 2005 → 90.2% in 2013 → ~96-100% 2014+). Null for 1990-2004 — those public-use layouts carry no Y/N/U prior-cesarean field at all. For a pre-2005 tracer use delivery_method_recode codes 2/4 (VBAC, repeat CS; 1990-2004 only)."
father_hispanic,Father Hispanic indicator,bool,true|false|null,1990-2024,"1990-2002: ORFATH@158; 2003-2013: UFHISP@195; 2014-2024: FHISP_R@160",partial,,"0→false; 1-5→true; 9→null."
father_race_ethnicity_5,Father race/ethnicity (5-category),string,"Hispanic|NH_white|NH_black|NH_other|null",1990-2024,"1990-2002: ORRACEF@159; 2003-2013: FRACEHISP@196; 2014-2024: FRACEHISP@162",partial,,"Code 8 maps to NH_other for 1990-2002 (pre-2003) but null for 2003+ (semantic shift: code 8 = origin unknown)."
father_education_cat4,Father education (4-category),string,"lt_hs|hs_grad|some_college|ba_plus|null","1990-1994, 2009-2024","1990-1994: DFEDUC@163-164; 2005-2013: FEDUC@197; 2014-2024: FEDUC@163",partial,,"Null 1995-2008 (dropped from public-use). Partial coverage 2009-2010 (2003-revision states only) in V2 natality. Uses _dmeduc_years_to_cat4 for 1990-1994; _meduc_to_cat4 for 2009+. **V3 LINKED CAVEAT**: 100% NULL for 2009-2010 in V3 (the 2009 and 2010 LinkCO denominator-plus zips ship with byte 197 blank across the entire file — upstream NCHS limitation, not a parser bug). V3 coverage matches V2 from 2011 onward."
ca_anencephaly,Congenital anomaly: anencephaly,bool,true|false|null,2014-2024,2014-2024: CA_ANEN@537,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
ca_spina_bifida,Congenital anomaly: spina bifida,bool,true|false|null,2014-2024,2014-2024: CA_MNSB@538,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
ca_cchd,Congenital anomaly: cyanotic congenital heart disease,bool,true|false|null,2014-2024,2014-2024: CA_CCHD@539,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
ca_cdh,Congenital anomaly: congenital diaphragmatic hernia,bool,true|false|null,2014-2024,2014-2024: CA_CDH@540,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
ca_omphalocele,Congenital anomaly: omphalocele,bool,true|false|null,2014-2024,2014-2024: CA_OMPH@541,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
ca_gastroschisis,Congenital anomaly: gastroschisis,bool,true|false|null,2014-2024,2014-2024: CA_GAST@542,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
ca_limb_reduction,Congenital anomaly: limb reduction defect,bool,true|false|null,2014-2024,2014-2024: CA_LIMB@549,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
ca_cleft_lip,Congenital anomaly: cleft lip with/without cleft palate,bool,true|false|null,2014-2024,2014-2024: CA_CLEFT@550,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
ca_cleft_palate,Congenital anomaly: cleft palate alone,bool,true|false|null,2014-2024,2014-2024: CA_CLPAL@551,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
ca_down_syndrome,Congenital anomaly: Down syndrome,bool,true|false|null,2014-2024,2014-2024: CA_DOWN@552,within-era,"_yn_to_bool(true_values=(Y,C,P))","C=Confirmed/P=Pending→true; N→false; U/blank→null."
ca_chromosomal_disorder,Congenital anomaly: suspected chromosomal disorder,bool,true|false|null,2014-2024,2014-2024: CA_DISOR@553,within-era,"_yn_to_bool(true_values=(Y,C,P))","C=Confirmed/P=Pending→true; N→false; U/blank→null."
ca_hypospadias,Congenital anomaly: hypospadias,bool,true|false|null,2014-2024,2014-2024: CA_HYPO@554,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
infection_gonorrhea,Infection present: gonorrhea,bool,true|false|null,2014-2024,2014-2024: IP_GON@343,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
infection_syphilis,Infection present: syphilis,bool,true|false|null,2014-2024,2014-2024: IP_SYPH@344,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
infection_chlamydia,Infection present: chlamydia,bool,true|false|null,2014-2024,2014-2024: IP_CHLAM@345,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
infection_hep_b,Infection present: hepatitis B,bool,true|false|null,2014-2024,2014-2024: IP_HEPB@346,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
infection_hep_c,Infection present: hepatitis C,bool,true|false|null,2014-2024,2014-2024: IP_HEPC@347,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
prior_cesarean_count,Number of prior cesarean deliveries,int8,0-30|null,"2005-2024","2005-2013: RF_CESARN@325-326; 2014-2024: RF_CESARN@332-333",partial,,"0-30=count; 99→null. RF_CESARN is revised-certificate-only (same population as RF_CESAR / prior_cesarean); coverage tracks cert-revision adoption (30.7% populated in 2005 → 90.2% in 2013 → ~96-100% 2014+). Null for 1990-2004 — those public-use layouts carry no RF_CESARN field."
fertility_enhancing_drugs,Fertility-enhancing drugs used,bool,true|false|null,2014-2024,2014-2024: RF_FEDRG@326,within-era,_yn_to_bool,"Y→true; N→false; X(not applicable)/U→null. High null rate: X is the dominant code."
assisted_reproductive_tech,Assisted reproductive technology used,bool,true|false|null,2014-2024,2014-2024: RF_ARTEC@327,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
pre_pregnancy_diabetes,Pre-pregnancy diabetes,bool,true|false|null,2014-2024,2014-2024: RF_PDIAB@313,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null. Finer-grained than diabetes_any; distinguishes pre-existing from gestational."
gestational_diabetes,Gestational diabetes,bool,true|false|null,2014-2024,2014-2024: RF_GDIAB@314,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null. Finer-grained than diabetes_any."
nicu_admission,NICU admission,bool,true|false|null,2014-2024,2014-2024: AB_NICU@519,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
weight_gain_pounds,Weight gain during pregnancy (pounds),int16,0-98|null,2014-2024,2014-2024: WTGAIN@304-305,within-era,,"0-97=pounds; 98=top-code (98+ lbs); 99→null. ~6k rows/year at 98. Not available before 2014."
induction_of_labor,Induction of labor,bool,true|false|null,2014-2024,2014-2024: LD_INDL@383,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
breastfed_at_discharge,Breastfed at discharge,bool,true|false|null,2014-2024,2014-2024: BFED@569,within-era,_yn_to_bool,"Y→true; N→false; U/blank→null."
gestational_age_weeks_clean,Gestational age (weeks) cleaned,int16,12-47|null,1990-2024,Derived from gestational_age_weeks,partial,gestational_age_weeks_clean = null if gestational_age_weeks==99 else gestational_age_weeks,
birthweight_grams_clean,Birthweight (grams) cleaned,int32,100-8165|null,1990-2024,Derived from birthweight_grams,full,birthweight_grams_clean = null if birthweight_grams==9999 else birthweight_grams,
apgar5_clean,Five-minute Apgar score cleaned,int16,0-10|null,1990-2024,Derived from apgar5,full,apgar5_clean = null if apgar5==99 else apgar5,"Sentinel 99→null."
low_birthweight,Low birthweight (<2500 g),bool,true|false,1990-2024,Derived from birthweight_grams_clean,full,low_birthweight = (birthweight_grams_clean < 2500),Null when birthweight is missing.
very_low_birthweight,Very low birthweight (<1500 g),bool,true|false,1990-2024,Derived from birthweight_grams_clean,full,very_low_birthweight = (birthweight_grams_clean < 1500),Null when birthweight is missing.
preterm_lt37,Preterm (<37 weeks),bool,true|false,1990-2024,Derived from gestational_age_weeks_clean,partial,preterm_lt37 = (gestational_age_weeks_clean < 37),Null when gestational age is missing.
very_preterm_lt32,Very preterm (<32 weeks),bool,true|false,1990-2024,Derived from gestational_age_weeks_clean,partial,very_preterm_lt32 = (gestational_age_weeks_clean < 32),Null when gestational age is missing.
singleton,Singleton birth indicator,bool,true|false,1990-2024,Derived from plurality_recode,full,singleton = (plurality_recode == 1),Null when plurality_recode is missing.
maternal_age_cat,Maternal age category,string,<20|20-24|25-29|30-34|35-39|40+,1990-2024,Derived from maternal_age,full,maternal_age_cat from maternal_age (<20 20-24 25-29 30-34 35-39 40+),
father_age_cat,Father age category,string,<20|20-24|25-29|30-34|35-39|40+,1990-2024,Derived from father_age,partial,father_age_cat from father_age (<20 20-24 25-29 30-34 35-39 40+),Null when father_age is missing.
diabetes_any_bool,Diabetes (nullable boolean),bool,true|false|null,1990-2024,Derived from diabetes_any,partial,"diabetes_any 1→true 2→false 8/9/other→null","Null when unknown (sentinel 9 or pre-2004 code 8 ""factor not on certificate"") or source field is missing. Preferred over diabetes_any for downstream analysis — avoids sentinel codes passing IS NOT NULL filters."
hypertension_chronic_bool,Chronic hypertension (nullable boolean),bool,true|false|null,1990-2024,Derived from hypertension_chronic,partial,"hypertension_chronic 1→true 2→false 8/9/other→null","Null when unknown (sentinel 9 or pre-2004 code 8 ""factor not on certificate"") or source field is missing."
hypertension_gestational_bool,Gestational hypertension (nullable boolean),bool,true|false|null,1990-2024,Derived from hypertension_gestational,partial,"hypertension_gestational 1→true 2→false 8/9/other→null","Null when unknown (sentinel 9 or pre-2004 code 8 ""factor not on certificate"") or source field is missing."
infant_death,Infant death indicator (linked),bool,true|false,2005-2023 (linked),FLGND: 2005-2013@868 (1=death 2=survivor); 2014-2020@1346 (1=death blank=survivor),full,infant_death = (FLGND == '1'),V3 linked files only. Null not expected.
age_at_death_days,Age at death in days,int16,0-365|null,2005-2023 (linked),AGED: 2005-2013@872-874; 2014-2020@1356-1358,full,,V3 linked files only. Null for survivors.
age_at_death_recode5,Age at death 5-category recode,int8,1|2|3|4|5|null,2005-2023 (linked),AGER5: 2005-2013@875; 2014-2020@1359,full,,"1=<1hr; 2=1-23hr; 3=1-6d; 4=7-27d; 5=28d+. V3 linked files only. Null for survivors."
underlying_cause_icd10,Underlying cause of death (ICD-10),string,ICD-10 codes|null,2005-2023 (linked),UCOD: 2005-2013@884-887; 2014-2020@1368-1371,full,,V3 linked files only. Null for survivors.
cause_recode_130,130 Infant Cause of Death recode,int16,1-158|null,2005-2023 (linked),UCODR130: 2005-2013@889-891; 2014-2020@1373-1375,full,,"NCHS 130-cause recode with residual codes 131-158 (""all other"" / era residual categories; SIDS=135 is in this range). V3 linked files only. Null for survivors. Do NOT filter by <=130 — drops ~23% of deaths including all SIDS."
manner_of_death,Manner of death,int8,1-7|null,2005-2023 (linked),MANNER: 2005-2013@878; 2014-2020@1362,full,,"1=accident; 3=homicide; 5=could not determine; 7=natural. V3 linked files only. Null for survivors."
record_weight,Record weight for linked file,float64,1.0+|null,2005-2023 (linked),RECWT: 2005-2013@893-900; 2014-2020@1377-1384,full,,"Weight to adjust for unlinked deaths. 1.0 for survivors. V3 linked files only."
neonatal_death,Neonatal death (<28 days),bool,true|false,2005-2023 (linked),Derived from infant_death and age_at_death_days,full,neonatal_death = (infant_death AND age_at_death_days < 28),V3 linked derived. False for survivors.
postneonatal_death,Postneonatal death (28-364 days),bool,true|false,2005-2023 (linked),Derived from infant_death and age_at_death_days,full,postneonatal_death = (infant_death AND age_at_death_days >= 28),V3 linked derived. False for survivors.
cause_group,Cause-of-death standard grouping (13 categories),string,"congenital_anomalies|short_gestation_lbw|other_perinatal|other|sids|maternal_complications|unintentional_injuries|placenta_cord_membranes|bacterial_sepsis|respiratory_distress|circulatory|nec|assault",2005-2023 (linked),Derived from underlying_cause_icd10,full,"Maps ICD-10 to 13 NCHS standard infant cause-of-death categories","V3 linked derived. Null for survivors; non-null for all deaths."
